componr,competitorClub,competitorName,competitorDoB,competitorNation,speed,length,lengthPoints,judgeA,judgeB,judgeC,judgeD,judgeE,stylePoints,startGate,gatePoints,windSpeed,windPoints,totalPoints,fileid,series,place,date,ctype,judgeNameA,judgeNameB,judgeNameC,judgeNameD,judgeNameE,judgeNationA,judgeNationB,judgeNationC,judgeNationD,judgeNationE,country,gender
1,SK Triglav Kranj,PREVC Peter,20 SEP 1992,SLO,90.3,133.5,75.3,19.0,18.5,18.5,19.0,19.0,56.5,15,-3.8,-0.10,1.3,129.3,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,WSV DJK Rastbuechl,FREUND Severin,11 MAY 1988,GER,90.3,133.5,75.3,19.0,19.0,18.5,19.5,19.0,57.0,15,-3.8,0.06,-0.6,127.9,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,Kolbukameratene IL,GANGNES Kenneth,15 MAY 1989,NOR,90.8,132.0,72.6,18.5,18.0,18.5,18.5,18.5,55.5,15,-3.8,-0.11,1.4,125.7,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,Hornindal Il,FANNEMEL Anders,13 MAY 1991,NOR,89.9,132.5,73.5,19.0,18.5,19.0,18.5,18.5,56.0,15,-3.8,0.42,-4.4,121.3,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,SG Nickelhuette Aue,FREITAG Richard,14 AUG 1991,GER,89.8,130.0,69.0,18.5,18.0,18.5,18.5,18.0,55.0,15,-3.8,-0.04,0.5,120.7,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,Tromsoe Skiklubb,FORFANG Johann Andre,4 JUL 1995,NOR,90.3,128.0,65.4,18.0,18.0,18.0,18.0,18.0,54.0,15,-3.8,-0.16,2.0,117.6,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,UVB Hinzenbach-Oberoesterreich,HAYBOECK Michael,5 MAR 1991,AUT,90.1,131.0,70.8,18.5,18.0,18.0,18.5,18.5,55.0,15,-3.8,0.44,-4.6,117.4,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,LSK Lomnice nad Popelkou,KOUDELKA Roman,9 JUL 1989,CZE,90.3,129.0,67.2,18.5,18.0,18.0,18.5,18.0,54.5,15,-3.8,0.08,-0.8,117.1,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,SV Schwarzach-Salzburg,KRAFT Stefan,13 MAY 1993,AUT,90.2,128.5,66.3,18.0,17.5,18.5,18.0,18.5,54.5,15,-3.8,0.16,-1.7,115.3,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,Megmilk Snow Brand Ski Team,ITO Daiki,27 DEC 1985,JPN,90.2,130.0,69.0,18.0,18.0,18.5,18.5,18.0,54.5,15,-3.8,0.46,-4.8,114.9,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,Tsuchiya Home Ski Team,KASAI Noriaki,6 JUN 1972,JPN,90.0,126.5,62.7,18.0,17.5,18.5,18.0,17.5,53.5,15,-3.8,-0.19,2.4,114.8,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,SC Willingen,LEYHE Stephan,5 JAN 1992,GER,90.3,126.5,62.7,18.0,17.5,18.0,18.0,18.0,54.0,15,-3.8,-0.08,1.0,113.9,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,SV Baiersbronn,SIEGEL David,28 AUG 1996,GER,90.2,128.5,66.3,18.0,17.5,18.0,18.0,17.5,53.5,15,-3.8,0.35,-3.7,112.3,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
1,SSC Toggenburg,AMMANN Simon,25 JUN 1981,SUI,90.2,127.5,64.5,16.5,16.5,16.0,16.5,16.5,49.5,15,-3.8,-0.10,1.3,111.5,2016-37451-4418-3770-RL1.pdf,FIS SKI JUMPING WORLD CUP PRESENTED BY VIESSMANN,Garmisch-Partenkirchen (GER),FRI 1 JAN 2016,Large Hill KO,NIEMINEN Teppo,PERKTOLD Wolfgang,TAKAHASHI Masahiko,KLEISL Josef,JOST Bojan,FIN,AUT,JPN,GER,SLO,GER,Gents
